Sample sublocation;Date;Health Score;Bacterial load (cells/mL);Productivity (%);Cell viability (%);Diversity (a.u.);;Date;Delta_Ras1;Delta_Ras2;Delte_Ras3;Mini_Ras
Delta_Ras1;2025/05/26 12:00:00;2;1631253;76,05;78,03;2018;;26/5/25;2;5;4;3
Delta_Ras2;2025/05/26 12:00:00;5;977787;55,61;59,18;3442;;2/6/25;5;5;3;5
Delte_Ras3;2025/05/26 12:00:00;4;723573;59,21;59,43;3156;;9/6/25;6;6;5;6
Mini_Ras;2025/05/26 12:00:00;3;689680;63,8;67,85;2713;;16/6/25;4;5;5;5
Delta_Ras1;2025/06/02 12:00:00;5;1007920;51,18;53,32;3429;;23/6/25;6;6;5;6
Delta_Ras2;2025/06/02 12:00:00;5;594213;59,04;59,22;3292;;;;;;
Delta_Ras3;2025/06/02 12:00:00;3;1524507;37,31;39,58;2852;;;;;;
Mini_Ras;2025/06/02 12:00:00;5;640400;61,63;64,85;3355;;Date;Delta_Ras1;Delta_Ras2;Delte_Ras3;Mini_Ras
Delta_Ras1;2025/06/09 12:00:00;6;1087307;48,06;47,03;3592;;26/5/25;1631253;977787;723573;689680
Delta_Ras2;2025/06/09 12:00:00;6;738453;56,55;36,58;3623;;2/6/25;1007920;594213;1524507;640400
Delte_Ras3;2025/06/09 12:00:00;5;749253;49,45;45,99;3586;;9/6/25;1087307;738453;749253;522000
Mini_Ras;2025/06/09 12:00:00;6;522000;50,41;47,9;3637;;16/6/25;888693;1538160;802853;468347
Delta_Ras1;2025/06/16 12:00:00;4;888693;56,55;59,37;3217;;23/6/25;1134160;1160533;1242587;303813
Delta_Ras2;2025/06/16 12:00:00;5;1538160;53,67;44,88;3430;;;;;;
Delte_Ras3;2025/06/16 12:00:00;5;802853;43,17;37,32;3352;;Date;Delta_Ras1;Delta_Ras2;Delte_Ras3;Mini_Ras
Mini_Ras;2025/06/16 12:00:00;5;468347;45,47;57,17;3571;;26/5/25;76,05;55,61;59,21;63,8
Delta_Ras1;2025/06/23 12:00:00;6;1134160;36,75;19,11;4030;;2/6/25;51,18;59,04;37,31;61,63
Delta_Ras2;2025/06/23 12:00:00;6;1160533;55,71;44,08;3690;;9/6/25;48,06;56,55;49,45;50,41
Delte_Ras3;2025/06/23 12:00:00;5;1242587;57,4;39,38;3359;;16/6/25;56,55;53,67;43,17;45,47
Mini_Ras;2025/06/23 12:00:00;6;303813;39,23;36,95;3708;;23/6/25;36,75;55,71;57,4;39,23
;;;;;;;;;;;;
;;;;;;;;Date;Delta_Ras1;Delta_Ras2;Delte_Ras3;Mini_Ras
;;;;;;;;26/5/25;78,03;59,18;59,43;67,85
;;;;;;;;2/6/25;53,32;59,22;39,58;64,85
;;;;;;;;9/6/25;47,03;36,58;45,99;47,9
;;;;;;;;16/6/25;59,37;44,88;57,17;57,17
;;;;;;;;23/6/25;19,11;44,08;39,38;36,95
;;;;;;;;;;;;
;;;;;;;;Date;Delta_Ras1;Delta_Ras2;Delte_Ras3;Mini_Ras
;;;;;;;;26/5/25;2018;3442;3586;2713
;;;;;;;;2/6/25;3429;3292;2852;3355
;;;;;;;;9/6/25;3592;3623;3586;3637
;;;;;;;;16/6/25;3217;3430;3352;3571
;;;;;;;;23/6/25;4030;3690;3359;3708
